,,,D=!,phi1,teta12,Xt(1),,,,,,,
t,Pre,Residuos,dpre,-0.169178526,-0.686832399,,,,,,,,
153,460,73.80378947,215,-158.181922,-16.9874983,,,,,,,,
154,147,69.22417396,144,-36.37338313,38.40722794,,,,,,,,
155,33,-63.2204418,-135,-24.36170777,-96.15219037,,,,,,,,
156,99,43.21295689,-11,22.83910103,-31.37774452,,,,,,,,
157,1492,1416.584217,1439,1.860963788,24.27830681,,,,,,,,
158,1870,1335.256168,1552,-243.4478992,-26.70472772,,,,,,,,
159,1922,645.3105952,837,-262.5650726,-70.87937015,,,,,,,,
160,1449,-220.4177812,517,-141.6024264,595.848299,,,,,,,,
161,316,-1170.092759,-1043,-87.46529803,39.63089513,,,,,,,,
162,23,-2121.128459,-3498,176.4532028,-1200.484765,,,,,,,,
163,10,-1212.995832,-1316,591.7864845,488.8078332,,,,,,,,
164,524,-185.2911888,-587,222.6389404,-179.0803573,,,,,,,,
165,0,-310.0042659,-460,99.30779486,-50.69083375,,,,,,,,
166,102,80.36478117,-45,77.82212204,-47.54540545,,,,,,,,
167,541,472.1942104,508,7.613033678,43.42184769,,,,,,,,
168,524,368.7407709,425,-85.94269129,-29.68005884,,,,,,,,
169,2389,1798.030949,897,-71.90087362,-972.9559359,,,,,,,,
170,195,-909.678726,-1675,-151.753138,-917.0971964,,,,,,,,
171,1738,542.5825669,-184,283.3740313,-443.220224,,,,,,,,
172,1301,-268.2577746,-148,31.12884881,151.3900733,,,,,,,,
173,1377,282.4004788,1061,25.03842187,803.6576163,,,,,,,,
174,43,-1616.321234,20,-179.4984163,1456.859747,,,,,,,,
175,15,-831.4875565,5,-3.383570523,833.124837,,,,,,,,
176,23,-629.1070017,-501,-0.845892631,127.2639916,,,,,,,,
177,120,-8.157211816,120,84.75844161,212.9209735,,,,,,,,
178,21,-46.1054841,-81,-20.30142314,-55.19713542,,,,,,,,
179,662,459.0139161,121,13.70346062,-324.3182822,,,,,,,,
180,701,409.7889445,177,-20.47060167,-253.2631082,,,,,,,,
181,2587,1402.986317,198,-29.94459913,-1234.94591,,,,,,,,
182,858,4.713659161,663,-33.49734818,624.7968214,,,,,,,,
183,689,-788.5066063,-1049,-112.1653628,-372.6632859,,,,,,,,
184,628,-679.7777106,-673,177.4682739,184.2481308,,,,,,,,
185,1194,124.8161954,-183,113.8571481,-193.9617983,,,,,,,,
186,54,-1068.168858,11,30.95967029,1110.14179,,,,,,,,
187,158,-429.9468976,143,-1.860963788,571.0925929,,,,,,,,
188,165,-314.2784463,142,-24.19252924,432.091071,,,,,,,,
189,0,-149.6259625,-120,-24.02335072,5.602637358,,,,,,,,
190,348,315.6351507,327,20.30142314,31.66674024,,,,,,,,
191,107,-295.0593155,-555,-55.32137806,-315.2656291,,,,,,,,
192,593,267.348018,-108,93.89408202,-281.4563237,,,,,,,,
193,628,-977.1177985,-1959,18.27128083,-963.6164572,,,,,,,,
194,1526,1002.65808,668,331.4207328,-3.237493828,,,,,,,,
195,4674,3330.419943,3985,-113.0112555,541.5718838,,,,,,,,
196,2485,715.9330801,1857,-674.1764268,466.8933555,,,,,,,,
197,669,-753.4372348,-525,-314.1645231,-85.7278069,,,,,,,,
198,0,-698.8301449,-54,88.81872624,733.6529792,,,,,,,,
199,384,-60.1642075,226,9.135640413,295.301459,,,,,,,,
200,0,-419.0897539,-165,-38.23434691,215.8566192,,,,,,,,
201,3,-71.85291787,3,27.91445682,102.7679587,,,,,,,,
202,0,-131.720359,-348,-0.507535579,-216.7884477,,,,,,,,
203,3,-247.7810407,-104,58.87412711,202.6562974,,,,,,,,
204,356,-35.78353312,-237,17.59456672,-183.6232805,,,,,,,,
205,2429,1169.981044,1801,40.0953107,671.1161614,,,,,,,,
206,1955,812.9658437,429,-304.6905256,-688.6580539,,,,,,,,
207,1230,-1229.143372,-3444,-72.57758773,-2287.440318,,,,,,,,
208,2135,724.3754916,-350,582.6508441,-491.7260347,,,,,,,,
209,512,-615.2712392,-157,59.21248416,517.4851033,,,,,,,,
210,114,-339.4168843,114,26.56102861,479.9791847,,,,,,,,
211,0,-444.6089961,-384,-19.28635198,41.32272695,,,,,,,,
212,0,-222.8791097,0,64.96455405,287.8444209,,,,,,,,
213,0,-52.35079298,-3,0,49.35091193,,,,,,,,
214,103,13.03795956,103,0.507535579,90.46981014,,,,,,,,
215,138,-52.60895378,135,-17.4253882,170.1840465,,,,,,,,
216,408,4.583864726,52,-22.83910103,24.57728988,,,,,,,,
217,1723,88.78256833,-706,-8.797283361,-803.5808868,,,,,,,,
218,962,-315.1894093,-993,119.4400395,-558.3712805,,,,,,,,
219,1887,-19.22013468,657,167.9942765,844.2154908,,,,,,,,
220,3017,1268.37362,882,-111.1502917,-497.5245565,,,,,,,,
221,1215,131.1968641,703,-149.2154601,422.5882211,,,,,,,,
222,56,-410.0547261,-58,-118.9325039,233.1225128,,,,,,,,
223,132,-163.5591304,132,9.812354518,305.3718633,,,,,,,,
224,61,-114.4119684,61,-22.33156545,153.0805935,,,,,,,,
225,0,-46.27606685,0,-10.3198901,35.95622072,,,,,,,,
226,216,121.95488,113,0,-8.954893038,,,,,,,,
227,298,104.7493408,160,-19.11717346,36.13353392,,,,,,,,
228,1088,656.0797866,680,-27.06856419,-3.148346805,,,,,,,,
229,3317,1539.937342,1594,-115.0413978,-60.97874437,,,,,,,,
230,2491,1042.847272,1529,-269.6705707,216.4822981,,,,,,,,
231,1000,-1158.874951,-887,-258.6739665,13.20101121,,,,,,,,
232,2697,701.2209216,-320,150.0613527,-871.1600959,,,,,,,,
233,768,-302.752669,-447,54.13712837,-90.11025685,,,,,,,,
234,247,-15.01590431,191,75.6228012,281.6388711,,,,,,,,
235,66,-210.6507424,-66,-32.3130985,112.3377099,,,,,,,,
236,0,-128.4160185,-61,11.16578273,78.58184667,,,,,,,,
237,69,47.5360076,69,10.3198901,31.783902,,,,,,,,
238,0,-143.9108029,-216,-11.67331831,-83.76256274,,,,,,,,
239,277,87.48777213,-21,36.54256165,-71.94524103,,,,,,,,
240,810,176.1693918,-278,3.55274905,-450.6168536,,,,,,,,
241,2215,2.710190017,-1102,47.03163027,-1057.678858,,,,,,,,
242,2820,1231.695822,329,186.4347358,-716.2612934,,,,,,,,
243,1547,-304.6123662,547,-55.65973511,795.9528623,,,,,,,,
244,1876,-431.919544,-821,-92.54065381,-481.6212476,,,,,,,,
245,1177,339.9552854,409,138.89557,207.9403419,,,,,,,,
246,10,-316.507424,-237,-69.1940172,10.31340957,,,,,,,,
247,20,-150.5864045,-46,40.0953107,144.6817547,,,,,,,,
248,16,-64.41804527,16,7.782212204,88.20028199,,,,,,,,
249,0,-39.05759631,-69,-2.706856419,-32.64927012,,,,,,,,
250,94,6.830744594,94,11.67331831,98.84260196,,,,,,,,
251,283,50.18663882,6,-15.90278146,-60.08943639,,,,,,,,
252,557,-133.0162585,-253,-1.015071157,-120.9988459,,,,,,,,
253,1964,-206.3363859,-251,42.80216712,-1.861446311,,,,,,,,
254,1755,-176.5677074,-1065,42.46381007,-845.9685962,,,,,,,,
255,432,-1144.042485,-1115,180.1751304,209.2176421,,,,,,,,
256,1806,-178.0222412,-70,188.6340567,296.6563364,,,,,,,,
257,156,-775.6652313,-1021,11.84249683,-233.4923041,,,,,,,,
258,28,-26.65625046,18,172.7312752,217.3875532,,,,,,,,
259,0,-126.4728214,-20,-3.045213471,103.4276214,,,,,,,,
260,31,-25.8608244,15,3.383570523,44.24440055,,,,,,,,
261,0,-29.36369692,0,-2.537677893,26.82602256,,,,,,,,
262,0,-89.30842394,-94,0,-4.691576694,,,,,,,,
263,0,-232.6274142,-283,15.90278146,-34.46980952,,,,,,,,
264,1037,436.517657,480,47.87752291,91.3598759,,,,,,,,
265,2076,-110.9241964,112,-81.20569256,141.7185149,,,,,,,,
266,2633,737.7795895,878,-18.94799493,121.272422,,,,,,,,
267,898,-468.3041405,466,-148.538746,785.7654442,,,,,,,,
